Date,Category,Amount,Description
2023-01-01,REVENUE,10000,Consulting Fees
2023-01-15,EXPENSE,2000,Office Rent
2023-02-01,REVENUE,12000,Consulting Fees
2023-02-15,EXPENSE,2000,Office Rent
2023-03-01,REVENUE,11000,Project X
2023-03-10,EXPENSE,2500,Office Rent + Utilities
2023-04-01,REVENUE,13000,Project Y
2023-04-05,EXPENSE,2000,Office Rent
2023-05-01,REVENUE,14000,Consulting Fees
2023-05-20,EXPENSE,2200,Office Rent
2023-06-01,REVENUE,15000,Project Z
2023-06-15,EXPENSE,3000,Equipment
2023-07-01,REVENUE,14500,Consulting Fees
2023-07-10,EXPENSE,2000,Office Rent
2023-08-01,REVENUE,16000,Project A
2023-08-05,EXPENSE,2100,Office Rent
2023-09-01,REVENUE,16500,Consulting Fees
2023-09-15,EXPENSE,2000,Office Rent
2023-10-01,REVENUE,17000,Project B
2023-10-10,EXPENSE,2500,Travel
2023-11-01,REVENUE,18000,Consulting Fees
2023-11-05,EXPENSE,2000,Office Rent
2023-12-01,REVENUE,19000,Project C
2023-12-20,EXPENSE,5000,Year End Bonus
